排名,高校名称,地区,总分
1,清华大学,北京,100.00
2,北京大学,北京,99.82
3,中国科学技术大学,安徽,97.90
4,复旦大学,上海,97.78
5,上海交通大学,上海,97.48
6,南京大学,江苏,97.36
7,浙江大学,浙江,97.24
8,中国人民大学,北京,97.00
9,西安交通大学,陕西,96.28
10,哈尔滨工业大学,黑龙江,95.50
10,国防科技大学,湖南,95.5*
10,中国科学院大学,北京,95.5*
11,北京航空航天大学,北京,94.96
12,同济大学,上海,94.66
12,北京师范大学,北京,94.66*
13,武汉大学,湖北,94.54
14,南开大学,天津,94.36
15,东南大学,江苏,93.82
16,华中科技大学,湖北,93.76
17,中山大学,广东,93.40
18,厦门大学,福建,93.22
19,北京理工大学,北京,93.10
20,电子科技大学,四川,92.74
20,上海财经大学,上海,92.74*
21,天津大学,天津,92.62
22,四川大学,四川,92.08
23,山东大学,山东,92.02
24,西北工业大学,陕西,91.84
25,华东师范大学,上海,91.72
25,对外经济贸易大学,北京,91.72*
25,中央财经大学,北京,91.72*
26,中南大学,湖南,91.54
27,兰州大学,甘肃,91.24
28,华南理工大学,广东,91.18
29,吉林大学,吉林,91.00
30,中国农业大学,北京,90.76
30,中国政法大学,北京,90.76*
30,北京邮电大学,北京,90.76*
30,北京外国语大学,北京,90.76*
30,北京协和医学院,北京,90.76*
30,中国社会科学院大学,北京,90.76*
31,大连理工大学,辽宁,90.52
32,湖南大学,湖南,89.74
33,南京航空航天大学,江苏,89.62
34,东北大学,辽宁,89.56
35,重庆大学,重庆,88.78
35,上海外国语大学,上海,88.78*
35,南方科技大学,广东,88.78*
35,中国传媒大学,北京,88.78*
35,首都医科大学,北京,88.78*
36,南京理工大学,江苏,88.42
37,哈尔滨工程大学,黑龙江,88.30
38,西安电子科技大学,陕西,88.00
39,中国海洋大学,山东,87.64
40,北京交通大学,北京,87.52
40,上海科技大学,上海,87.52*
40,南京医科大学,江苏,87.52*
41,华东理工大学,上海,87.10
42,南京农业大学,江苏,87.04
43,北京科技大学,北京,86.68
44,郑州大学,河南,86.50
45,西南交通大学,四川,86.32
46,合肥工业大学,安徽,86.14
47,武汉理工大学,湖北,86.02
48,暨南大学,广东,85.24
49,华北电力大学,北京,85.12
50,西北农林科技大学,陕西,85.06
50,天津医科大学,天津,85.06*
50,中南财经政法大学,湖北,85.06*
50,中央民族大学,北京,85.06*
51,华中师范大学,湖北,85.00
52,南京师范大学,江苏,84.88
53,河海大学,江苏,84.70
54,西南大学,重庆,84.64
55,上海大学,上海,84.52
56,长安大学,陕西,84.46
57,东华大学,上海,84.28
58,北京工业大学,北京,84.22
59,中国矿业大学,江苏,84.10
60,苏州大学,江苏,84.04
60,西南政法大学,重庆,84.04*
60,西南财经大学,四川,84.04*
60,上海对外经贸大学,上海,84.04*
60,南京邮电大学,江苏,84.04*
60,北京语言大学,北京,84.04*
60,中国矿业大学(北京),北京,84.04*
61,太原理工大学,山西,83.92
62,北京化工大学,北京,83.86
63,云南大学,云南,83.68
64,江南大学,江苏,83.62
65,华中农业大学,湖北,83.50
65,中国医科大学,辽宁,83.5*
65,中国地质大学,湖北,83.5*
65,哈尔滨医科大学,黑龙江,83.5*
65,南方医科大学,广东,83.5*
65,中国地质大学（北京）,北京,83.5*
66,福州大学,福建,83.44
67,东北财经大学,辽宁,83.38
68,华东政法大学,上海,83.20
69,西北大学,陕西,83.14
70,东北师范大学,吉林,82.96
70,中国石油大学(华东),山东,82.96*
70,中国石油大学(北京),北京,82.96*
71,陕西师范大学,陕西,82.90
72,华南师范大学,广东,82.72
73,南京财经大学,江苏,82.60
74,安徽大学,安徽,82.48
75,南昌大学,江西,82.42
76,深圳大学,广东,82.18
77,宁波大学,浙江,82.06
78,华侨大学,福建,82.00
79,中国药科大学,江苏,81.88
80,江西财经大学,江西,81.70
81,湖南师范大学,湖南,81.64
82,南京信息工程大学,江苏,81.52
83,广西大学,广西,81.40
84,杭州电子科技大学,浙江,81.34
85,南京工业大学,江苏,81.22
86,首都师范大学,北京,81.16
87,浙江工业大学,浙江,80.98
88,燕山大学,河北,80.86
89,扬州大学,江苏,80.68
90,大连海事大学,辽宁,80.56
91,河南大学,河南,80.44
92,南京林业大学,江苏,80.38
93,青岛大学,山东,80.26
94,湘潭大学,湖南,80.14
95,广东工业大学,广东,80.02
96,贵州大学,贵州,79.90
97,武汉科技大学,湖北,79.72
98,昆明理工大学,云南,79.54
99,安徽师范大学,安徽,79.42
100,东北林业大学,黑龙江,79.00
